#4K频道#,genre#
CCTV4K,http://171.113.210.106:4022/rtp/239.69.1.12:9712
CCTV4K,http://58.48.104.98:4022/rtp/239.69.1.12:9712
CCTV4K,http://fn.tmde.top:35455/nptv/cctv4k.m3u8
CCTV4K,http://xc.mfykeke.top:35455/nptv/cctv4k.m3u8
CCTV4K,http://101.43.145.141:12002/gaoma/cctv4k.m3u8
CCTV4K,https://iptv.catvod.com/live.php?id=CCTV-4K
CCTV4K,http://A/ku9/js/cctvnews.js?id=cctv4k
CCTV4K,http://A/ku9/py/socks5.py?ip=121.37.142.154:49810&u=http://ott.mobaibox.com/PLTV/4/224/3221228228/index.m3u8
CCTV4K,http://A/ku9/py/socks5.py?ip=121.37.142.154:49810&u=http://ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8
CCTV4K,http://A/ku9/py/socks5.py?ip=223.111.182.16:1100&u=http://ott.mobaibox.com/PLTV/4/224/3221228228/index.m3u8
CCTV4K,http://A/ku9/py/socks5.py?ip=223.111.182.16:1100&u=http://ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8
CCTV4K,http://A/ku9/py/socks5.py?ip=120.226.12.155:31167&u=http://tvgslb.hn.chinamobile.com:8089/180000001002/32023092211020848462000290559536/main.m3u8?stbid=
CCTV4K,http://A/ku9/py/socks5.py?ip=111.2.64.140:12200&u=http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/1/index.m3u8?fmt=ts2hls
CCTV4K,http://A/ku9/js/ywt.js?token=CCTV-4K
CCTV4K,http://PLTV/ku9/py/socks5.py?ip=114.117.160.73:1212&u=http://live2.rxip.sc96655.com/live/ys4Kcq_2000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV4K,http://PLTV/ku9/py/socks5.py?ip=182.151.41.88:91&u=http://live2.rxip.sc96655.com/live/ys4Kcq_2000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV4K,http://A/ku9/py/socks5.py?ip=114.117.160.73:1212&u=http://edge-cache04.live3.omd.sc96655.com/live/ys4Kcq_2000.m3u8
CCTV4K,http://A/ku9/py/socks5.py?ip=110.89.134.242:34543&u=http://27.148.240.185/PLTV/88888888/224/3221227333/1.m3u8
CCTV4K,http://A/ku9/py/socks5.py?ip=116.255.192.142:65331&u=http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000382/index.m3u8
CCTV4K,https://hls-gateway.vpstv.net/streams/708821.m3u8
CCTV4K,http://yp.qqqtv.top/1/api.php?id=CCTV-4K%E8%B6%85%E9%AB%98%E6%B8%85&auth=666858
CCTV4K,http://vip1.xinketongxun.fun:8082/tsfile/live/1026_1.m3u8
CCTV4K,http://p.ytelc.com/169l/0/cctv.php?id=cctv4k
CCTV4K,http://www.tszhgjj.cn:7000/rtp/239.253.93.134:6631
CCTV4K,http://3501776.xyz:35455/gaoma/cctv4k.m3u8
CCTV4K,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0389&tk=a0c4f6cfaba3
CCTV4K,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6527&tk=f6cc1e0a0e1a
CCTV4K,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6124&tk=a0c4f6cfaba3
CCTV4K,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7103&tk=e640d0a1bf70
CCTV4K,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7406&tk=e503191f8e20
CCTV4K,https://stream1.freetv.fun/cctv4k-2.ctv
CCTV4K,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9460&tk=b53028476470
CCTV4K,http://223.105.252.60/PLTV/4/224/3221228472/index.m3u8?servicetype=1
CCTV4K,http://dl.wifi942.com:66/jsyd/jsyd.php?id=G_CCTV-4K-HD
CCTV8K,http://fn.tmde.top:35455/nptv/cctv8k.m3u8
CCTV8K,http://xc.mfykeke.top:35455/nptv/cctv8k.m3u8
CCTV8K,http://yp.qqqtv.top/1/api.php?id=CCTV-8K%E8%B6%85%E9%AB%98%E6%B8%85&auth=666858
CCTV8K,http://3501776.xyz:35455/gaoma/cctv8k_36m.m3u8
北京IPTV4K,http://home.kuaidi521.com:35455/bptv/3221226550.m3u8
北京卫视4K,http://171.213.203.158:4000/rtp/239.10.0.91:5140
北京卫视4K,http://171.213.203.158:4000/rtp/239.10.0.92:5140
北京卫视4K,http://171.213.227.120:4000/rtp/239.10.0.91:5140
北京卫视4K,http://171.213.227.120:4000/rtp/239.10.0.92:5140
北京卫视4K,http://183.220.107.138:4022/rtp/239.10.0.91:5140
北京卫视4K,http://183.220.107.138:4022/rtp/239.10.0.92:5140
北京卫视4K,http://113.106.171.234:8899/rtp/239.20.0.46:3220
北京卫视4K,http://113.106.171.234:8899/rtp/239.20.0.250:2298
北京卫视4K,http://36.49.53.247:8800/rtp/239.37.0.109:5540
北京卫视4K,http://106.120.13.137:4022/udp/225.1.8.120:8002
北京卫视4K,http://106.120.13.137:4022/rtp/225.1.8.128:8002
北京卫视4K,http://115.171.216.73:4000/udp/225.1.8.120:8002
北京卫视4K,http://115.171.216.73:4000/rtp/225.1.8.128:8002
北京卫视4K,http://115.171.216.75:4000/udp/225.1.8.120:8002
北京卫视4K,http://115.171.216.75:4000/rtp/225.1.8.128:8002
北京卫视4K,http://220.167.170.202:4000/rtp/239.120.1.111:8254
北京卫视4K,http://220.167.170.202:4000/rtp/239.120.1.110:8250
北京卫视4K,http://175.15.58.252:4022/udp/239.76.253.246:9000
北京卫视4K,http://175.8.180.171:7878/udp/239.76.253.246:9000
北京卫视4K,http://58.46.31.42:8188/udp/239.76.253.246:9000
北京卫视4K,http://121.29.141.59:4022/rtp/239.253.92.220:6229
北京卫视4K,https://migu.188766.xyz/?migutoken=4de3a99b22fd347ac2c3019df7c6454b&id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%86&pp=1
北京卫视4K,https://migu.188766.xyz/?migutoken=3db112733dbbd9d9081b733f24d7aaa4&id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%86&pp=1
北京卫视4K,https://migu.188766.xyz/?migutoken=695b6e672ef0ba93c9bb125d133b5bf3&id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%86&type=yy
北京卫视4K,http://106.53.99.30/tv/api.php?id=bjws4k
北京卫视4K,http://A/ku9/js/湖南广电湘西卫视专用.js?id=bjws4K&key=hungd
北京卫视4K,http://A/ku9/js/bjtime.js?id=bjws4k
北京卫视4K,http://A/ku9/py/socks5.py?ip=110.89.134.242:34543&u=http://27.148.240.185/PLTV/88888888/224/3221227310/1.m3u8
北京卫视4K,http://A/ku9/py/socks5.py?ip=120.226.12.155:31167&u=http://36.158.166.3:8089/180000001002/32025022616374181764583225166397/main.m3u8
北京卫视4K,https://migu.188766.xyz/?migutoken=8f563815874c06f6f33208f9817bb886&id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%86&type=yy
北京卫视4K,http://yp.qqqtv.top/1/api.php?id=%E5%8C%97%E4%BA%AC%E5%8D%AB%E8%A7%864K&auth=666858
北京卫视4K,http://101.35.240.114:88/live.php?id=北京卫视
华数爱上4K,http://171.213.203.158:4000/rtp/239.11.0.120:5140
华数爱上4K,http://171.213.227.120:4000/rtp/239.11.0.120:5140
华数爱上4K,http://183.220.107.138:4022/rtp/239.11.0.120:5140
华数爱上4K,http://119.84.193.28:7777/rtp/235.254.198.102:7980
华数爱上4K,http://112.66.69.103:8188/rtp/239.253.64.243:5140
华数爱上4K,http://112.66.78.35:8188/rtp/239.253.64.243:5140
华数爱上4K,http://223.198.241.28:4000/rtp/239.253.64.243:5140
华数爱上4K,http://171.213.146.177:8188/udp/239.93.0.97:5140
华数爱上4K,http://171.213.149.222:8188/udp/239.93.0.97:5140
华数爱上4K,http://171.213.149.89:8188/udp/239.93.0.97:5140
华数爱上4K,http://171.213.153.201:8188/udp/239.93.0.97:5140
华数爱上4K,http://171.213.154.31:9100/udp/239.93.0.97:5140
华数爱上4K,http://171.213.155.131:8188/udp/239.93.0.97:5140
华数爱上4K,http://171.213.208.171:4022/udp/239.93.0.97:5140
华数爱上4K,http://171.213.208.211:4022/udp/239.93.0.97:5140
华数爱上4K,http://171.213.218.135:8800/udp/239.93.0.97:5140
华数爱上4K,http://171.213.238.254:8188/udp/239.93.0.97:5140
华数爱上4K,http://171.213.238.59:8188/udp/239.93.0.97:5140
华数爱上4K,http://171.213.241.157:8188/udp/239.93.0.97:5140
华数爱上4K,http://171.104.106.168:50112/udp/239.81.0.123:4056
华数爱上4K,http://222.218.122.56:8188/udp/239.81.0.123:4056
华数爱上4K,http://222.83.161.79:9003/udp/239.81.0.123:4056
华数爱上4K,http://115.58.216.54:4000/rtp/225.1.4.162:1204
华数爱上4K,http://116.2.170.167:4010/rtp/232.0.0.187:1234
华数爱上4K,http://61.176.25.179:40001/rtp/232.0.0.187:1234
华数爱上4K,http://114.254.33.58:18888/rtp/239.3.1.236:2000
华数爱上4K,http://114.254.39.224:8888/rtp/239.3.1.236:2000
南国都市4K,http://113.119.26.179:58888/udp/239.253.43.99:5146
南国都市4K,http://113.119.27.238:58888/udp/239.253.43.99:5146
南国都市4K,http://116.21.205.101:8188/udp/239.253.43.99:5146
南国都市4K,http://183.236.43.98:4013/udp/239.253.43.99:5146
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
广东卫视4K,http://vvip.lqcc.xyz:8092/stream/channelid/1248069700?auth=PrI5LXwb51dYilt30TvNYVVAgd4A&profile=pass
广东卫视4K,http://ikuai.haleeyo.cn:9003/udp/239.77.0.27:5146
广东卫视4K,http://106.53.99.30/tv/api.php?id=gdws4k
广东卫视4K,http://A/ku9/js/湖南广电湘西卫视专用.js?id=gdws4K&key=hungd
广东卫视4K,http://A/ku9/py/socks5.py?ip=110.89.134.242:34543&u=http://27.148.240.185/PLTV/88888888/224/3221227404/1.m3u8
广东卫视4K,http://A/ku9/py/socks5.py?ip=120.226.12.155:31167&u=http://36.158.166.3:8089/180000001002/32025061216045554851550640574941/main.m3u8
广东卫视4K,http://A/ku9/py/socks5.py?ip=43.143.194.203:23056&u=http://hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226435/1.m3u8
广东卫视4K,http://101.35.240.114:88/live.php?id=广东卫视4K
欢笑剧场4K,http://116.235.57.12:4022/rtp/239.45.1.4:5140
欢笑剧场4K,http://180.154.61.39:4022/rtp/239.45.1.4:5140
欢笑剧场4K,http://180.165.12.90:4022/rtp/239.45.1.4:5140
欢笑剧场4K,http://180.165.18.57:4022/rtp/239.45.1.4:5140
欢笑剧场4K,http://180.165.2.27:9898/rtp/239.45.1.4:5140
欢笑剧场4K,http://180.165.26.251:4022/rtp/239.45.1.4:5140
欢笑剧场4K,http://223.167.230.34:4022/rtp/239.45.1.4:5140
